"walk","migratory.class","Freq","behavior"
"1","migrant",0,"Active movement spring"
"1","migrant",0,"Active movement summer"
"2","migrant",0,"Active movement spring"
"2","migrant",0,"Active movement summer"
"3","migrant",0,"Active movement spring"
"3","migrant",0,"Active movement summer"
"4","migrant",0,"Active movement spring"
"4","migrant",0,"Active movement summer"
"5","migrant",0,"Active movement spring"
"5","migrant",0,"Active movement summer"
"6","migrant",0,"Active movement spring"
"6","migrant",0,"Active movement summer"
"7","migrant",0,"Active movement spring"
"7","migrant",0,"Active movement summer"
"8","migrant",2,"Active movement spring"
"8","migrant",0,"Active movement summer"
"9","migrant",0,"Active movement spring"
"9","migrant",0,"Active movement summer"
"10","migrant",1,"Active movement spring"
"10","migrant",0,"Active movement summer"
"11","migrant",0,"Active movement spring"
"11","migrant",0,"Active movement summer"
"12","migrant",0,"Active movement spring"
"12","migrant",0,"Active movement summer"
"13","migrant",0,"Active movement spring"
"13","migrant",0,"Active movement summer"
"14","migrant",1,"Active movement spring"
"14","migrant",0,"Active movement summer"
"15","migrant",0,"Active movement spring"
"15","migrant",0,"Active movement summer"
"16","migrant",0,"Active movement spring"
"16","migrant",0,"Active movement summer"
"17","migrant",0,"Active movement spring"
"17","migrant",0,"Active movement summer"
"18","migrant",0,"Active movement spring"
"18","migrant",0,"Active movement summer"
"19","migrant",1,"Active movement spring"
"19","migrant",0,"Active movement summer"
"20","migrant",0,"Active movement spring"
"20","migrant",0,"Active movement summer"
"21","migrant",0,"Active movement spring"
"21","migrant",0,"Active movement summer"
"22","migrant",0,"Active movement spring"
"22","migrant",0,"Active movement summer"
"23","migrant",0,"Active movement spring"
"23","migrant",0,"Active movement summer"
"24","migrant",0,"Active movement spring"
"24","migrant",0,"Active movement summer"
"25","migrant",3,"Active movement spring"
"25","migrant",0,"Active movement summer"
"26","migrant",0,"Active movement spring"
"26","migrant",0,"Active movement summer"
"27","migrant",0,"Active movement spring"
"27","migrant",0,"Active movement summer"
"28","migrant",0,"Active movement spring"
"28","migrant",0,"Active movement summer"
"29","migrant",0,"Active movement spring"
"29","migrant",0,"Active movement summer"
"30","migrant",0,"Active movement spring"
"30","migrant",0,"Active movement summer"
"31","migrant",0,"Active movement spring"
"31","migrant",0,"Active movement summer"
"32","migrant",0,"Active movement spring"
