"season","walk","species","Freq","behavior"
"spring","1","Anna's Hummingbird",0,"Active movement spring"
"summer","1","Anna's Hummingbird",0,"Active movement summer"
"spring","2","Anna's Hummingbird",0,"Active movement spring"
"summer","2","Anna's Hummingbird",0,"Active movement summer"
"spring","3","Anna's Hummingbird",0,"Active movement spring"
"summer","3","Anna's Hummingbird",0,"Active movement summer"
"spring","4","Anna's Hummingbird",0,"Active movement spring"
"summer","4","Anna's Hummingbird",0,"Active movement summer"
"spring","5","Anna's Hummingbird",1,"Active movement spring"
"summer","5","Anna's Hummingbird",0,"Active movement summer"
"spring","6","Anna's Hummingbird",0,"Active movement spring"
"summer","6","Anna's Hummingbird",0,"Active movement summer"
"spring","7","Anna's Hummingbird",0,"Active movement spring"
"summer","7","Anna's Hummingbird",0,"Active movement summer"
"spring","8","Anna's Hummingbird",0,"Active movement spring"
"summer","8","Anna's Hummingbird",0,"Active movement summer"
"spring","9","Anna's Hummingbird",0,"Active movement spring"
"summer","9","Anna's Hummingbird",0,"Active movement summer"
"spring","10","Anna's Hummingbird",1,"Active movement spring"
"summer","10","Anna's Hummingbird",0,"Active movement summer"
"spring","11","Anna's Hummingbird",0,"Active movement spring"
"summer","11","Anna's Hummingbird",0,"Active movement summer"
"spring","12","Anna's Hummingbird",0,"Active movement spring"
"summer","12","Anna's Hummingbird",0,"Active movement summer"
"spring","13","Anna's Hummingbird",0,"Active movement spring"
"summer","13","Anna's Hummingbird",0,"Active movement summer"
"spring","14","Anna's Hummingbird",0,"Active movement spring"
"summer","14","Anna's Hummingbird",0,"Active movement summer"
"spring","15","Anna's Hummingbird",0,"Active movement spring"
"summer","15","Anna's Hummingbird",0,"Active movement summer"
"spring","16","Anna's Hummingbird",0,"Active movement spring"
"summer","16","Anna's Hummingbird",0,"Active movement summer"
"spring","17","Anna's Hummingbird",0,"Active movement spring"
"summer","17","Anna's Hummingbird",0,"Active movement summer"
"spring","18","Anna's Hummingbird",0,"Active movement spring"
"summer","18","Anna's Hummingbird",0,"Active movement summer"
"spring","19","Anna's Hummingbird",0,"Active movement spring"
"summer","19","Anna's Hummingbird",0,"Active movement summer"
"spring","20","Anna's Hummingbird",0,"Active movement spring"
"summer","20","Anna's Hummingbird",0,"Active movement summer"
"spring","21","Anna's Hummingbird",0,"Active movement spring"
"summer","21","Anna's Hummingbird",0,"Active movement summer"
"spring","22","Anna's Hummingbird",0,"Active movement spring"
"summer","22","Anna's Hummingbird",0,"Active movement summer"
"spring","23","Anna's Hummingbird",0,"Active movement spring"
"summer","23","Anna's Hummingbird",0,"Active movement summer"
"spring","24","Anna's Hummingbird",0,"Active movement spring"
"summer","24","Anna's Hummingbird",0,"Active movement summer"
"spring","25","Anna's Hummingbird",0,"Active movement spring"
"summer","25","Anna's Hummingbird",0,"Active movement summer"
"spring","26","Anna's Hummingbird",0,"Active movement spring"
"summer","26","Anna's Hummingbird",0,"Active movement summer"
"spring","27","Anna's Hummingbird",0,"Active movement spring"
"summer","27","Anna's Hummingbird",0,"Active movement summer"
"spring","28","Anna's Hummingbird",0,"Active movement spring"
"summer","28","Anna's Hummingbird",0,"Active movement summer"
"spring","29","Anna's Hummingbird",0,"Active movement spring"
"summer","29","Anna's Hummingbird",0,"Active movement summer"
"spring","30","Anna's Hummingbird",0,"Active movement spring"
"summer","30","Anna's Hummingbird",0,"Active movement summer"
"spring","31","Anna's Hummingbird",0,"Active movement spring"
"summer","31","Anna's Hummingbird",0,"Active movement summer"
"spring","32","Anna's Hummingbird",0,"Active movement spring"
"summer","32","Anna's Hummingbird",0,"Active movement summer"
"spring","33","Anna's Hummingbird",0,"Active movement spring"
"summer","33","Anna's Hummingbird",0,"Active movement summer"
"spring","34","Anna's Hummingbird",0,"Active movement spring"
"summer","34","Anna's Hummingbird",0,"Active movement summer"
"spring","35","Anna's Hummingbird",0,"Active movement spring"
"summer","35","Anna's Hummingbird",0,"Active movement summer"
"spring","36","Anna's Hummingbird",0,"Active movement spring"
"summer","36","Anna's Hummingbird",0,"Active movement summer"
"spring","37","Anna's Hummingbird",0,"Active movement spring"
"summer","37","Anna's Hummingbird",0,"Active movement summer"
"spring","38","Anna's Hummingbird",0,"Active movement spring"
"summer","38","Anna's Hummingbird",0,"Active movement summer"
"spring","39","Anna's Hummingbird",0,"Active movement spring"
"summer","39","Anna's Hummingbird",0,"Active movement summer"
"spring","40","Anna's Hummingbird",0,"Active movement spring"
"summer","40","Anna's Hummingbird",0,"Active movement summer"
"spring","41","Anna's Hummingbird",0,"Active movement spring"
"summer","41","Anna's Hummingbird",0,"Active movement summer"
"spring","42","Anna's Hummingbird",0,"Active movement spring"
"summer","42","Anna's Hummingbird",0,"Active movement summer"
"spring","43","Anna's Hummingbird",0,"Active movement spring"
"summer","43","Anna's Hummingbird",0,"Active movement summer"
"spring","44","Anna's Hummingbird",0,"Active movement spring"
"summer","44","Anna's Hummingbird",0,"Active movement summer"
"spring","45","Anna's Hummingbird",0,"Active movement spring"
"summer","45","Anna's Hummingbird",0,"Active movement summer"
"spring","46","Anna's Hummingbird",0,"Active movement spring"
"summer","46","Anna's Hummingbird",0,"Active movement summer"
"spring","47","Anna's Hummingbird",0,"Active movement spring"
"summer","47","Anna's Hummingbird",0,"Active movement summer"
"spring","1","Anna's Hummingbird",0,"Cleaning spring"
"summer","1","Anna's Hummingbird",0,"Cleaning summer"
"spring","2","Anna's Hummingbird",0,"Cleaning spring"
"summer","2","Anna's Hummingbird",0,"Cleaning summer"
"spring","3","Anna's Hummingbird",0,"Cleaning spring"
"summer","3","Anna's Hummingbird",0,"Cleaning summer"
"spring","4","Anna's Hummingbird",0,"Cleaning spring"
"summer","4","Anna's Hummingbird",0,"Cleaning summer"
"spring","5","Anna's Hummingbird",0,"Cleaning spring"
"summer","5","Anna's Hummingbird",0,"Cleaning summer"
"spring","6","Anna's Hummingbird",0,"Cleaning spring"
"summer","6","Anna's Hummingbird",0,"Cleaning summer"
"spring","7","Anna's Hummingbird",0,"Cleaning spring"
"summer","7","Anna's Hummingbird",0,"Cleaning summer"
"spring","8","Anna's Hummingbird",0,"Cleaning spring"
"summer","8","Anna's Hummingbird",0,"Cleaning summer"
"spring","9","Anna's Hummingbird",0,"Cleaning spring"
"summer","9","Anna's Hummingbird",0,"Cleaning summer"
"spring","10","Anna's Hummingbird",0,"Cleaning spring"
"summer","10","Anna's Hummingbird",0,"Cleaning summer"
"spring","11","Anna's Hummingbird",0,"Cleaning spring"
"summer","11","Anna's Hummingbird",0,"Cleaning summer"
"spring","12","Anna's Hummingbird",0,"Cleaning spring"
"summer","12","Anna's Hummingbird",0,"Cleaning summer"
"spring","13","Anna's Hummingbird",0,"Cleaning spring"
"summer","13","Anna's Hummingbird",0,"Cleaning summer"
"spring","14","Anna's Hummingbird",0,"Cleaning spring"
"summer","14","Anna's Hummingbird",0,"Cleaning summer"
"spring","15","Anna's Hummingbird",0,"Cleaning spring"
"summer","15","Anna's Hummingbird",0,"Cleaning summer"
"spring","16","Anna's Hummingbird",0,"Cleaning spring"
"summer","16","Anna's Hummingbird",0,"Cleaning summer"
"spring","17","Anna's Hummingbird",0,"Cleaning spring"
"summer","17","Anna's Hummingbird",0,"Cleaning summer"
"spring","18","Anna's Hummingbird",0,"Cleaning spring"
"summer","18","Anna's Hummingbird",0,"Cleaning summer"
"spring","19","Anna's Hummingbird",0,"Cleaning spring"
"summer","19","Anna's Hummingbird",0,"Cleaning summer"
"spring","20","Anna's Hummingbird",0,"Cleaning spring"
"summer","20","Anna's Hummingbird",0,"Cleaning summer"
"spring","21","Anna's Hummingbird",0,"Cleaning spring"
"summer","21","Anna's Hummingbird",0,"Cleaning summer"
"spring","22","Anna's Hummingbird",0,"Cleaning spring"
"summer","22","Anna's Hummingbird",0,"Cleaning summer"
"spring","23","Anna's Hummingbird",0,"Cleaning spring"
"summer","23","Anna's Hummingbird",0,"Cleaning summer"
"spring","24","Anna's Hummingbird",0,"Cleaning spring"
