"walk","trophic.guild","Freq","behavior"
"1","carnivore",0,"Active movement spring"
"1","carnivore",0,"Active movement summer"
"2","carnivore",0,"Active movement spring"
"2","carnivore",0,"Active movement summer"
"3","carnivore",0,"Active movement spring"
"3","carnivore",0,"Active movement summer"
"4","carnivore",0,"Active movement spring"
"4","carnivore",0,"Active movement summer"
"5","carnivore",0,"Active movement spring"
"5","carnivore",0,"Active movement summer"
"6","carnivore",0,"Active movement spring"
"6","carnivore",0,"Active movement summer"
"7","carnivore",0,"Active movement spring"
"7","carnivore",0,"Active movement summer"
"8","carnivore",0,"Active movement spring"
"8","carnivore",0,"Active movement summer"
"9","carnivore",0,"Active movement spring"
"9","carnivore",0,"Active movement summer"
"10","carnivore",0,"Active movement spring"
"10","carnivore",0,"Active movement summer"
"11","carnivore",0,"Active movement spring"
"11","carnivore",0,"Active movement summer"
"12","carnivore",0,"Active movement spring"
"12","carnivore",0,"Active movement summer"
"13","carnivore",0,"Active movement spring"
"13","carnivore",0,"Active movement summer"
"14","carnivore",0,"Active movement spring"
"14","carnivore",0,"Active movement summer"
"15","carnivore",0,"Active movement spring"
"15","carnivore",0,"Active movement summer"
"16","carnivore",0,"Active movement spring"
"16","carnivore",0,"Active movement summer"
"17","carnivore",0,"Active movement spring"
"17","carnivore",0,"Active movement summer"
"18","carnivore",0,"Active movement spring"
"18","carnivore",0,"Active movement summer"
"19","carnivore",0,"Active movement spring"
"19","carnivore",0,"Active movement summer"
"20","carnivore",0,"Active movement spring"
"20","carnivore",0,"Active movement summer"
"21","carnivore",0,"Active movement spring"
"21","carnivore",0,"Active movement summer"
"22","carnivore",0,"Active movement spring"
"22","carnivore",0,"Active movement summer"
"23","carnivore",0,"Active movement spring"
"23","carnivore",0,"Active movement summer"
"24","carnivore",0,"Active movement spring"
"24","carnivore",0,"Active movement summer"
"25","carnivore",0,"Active movement spring"
"25","carnivore",0,"Active movement summer"
"26","carnivore",0,"Active movement spring"
"26","carnivore",0,"Active movement summer"
"27","carnivore",0,"Active movement spring"
"27","carnivore",0,"Active movement summer"
"28","carnivore",0,"Active movement spring"
"28","carnivore",1,"Active movement summer"
"29","carnivore",0,"Active movement spring"
"29","carnivore",0,"Active movement summer"
"30","carnivore",0,"Active movement spring"
