"month","day","broad.behavior","family","Freq"
"5","1","Active movement","Apodidae",0
"8","1","Active movement","Apodidae",0
"5","2","Active movement","Apodidae",0
"8","2","Active movement","Apodidae",0
"5","3","Active movement","Apodidae",2
"8","3","Active movement","Apodidae",0
"5","4","Active movement","Apodidae",0
"8","4","Active movement","Apodidae",0
"5","5","Active movement","Apodidae",0
"8","5","Active movement","Apodidae",0
"5","6","Active movement","Apodidae",2
"8","6","Active movement","Apodidae",0
"5","7","Active movement","Apodidae",0
"8","7","Active movement","Apodidae",0
"5","8","Active movement","Apodidae",0
"8","8","Active movement","Apodidae",0
"5","9","Active movement","Apodidae",0
"8","9","Active movement","Apodidae",0
"5","10","Active movement","Apodidae",0
"8","10","Active movement","Apodidae",0
"5","14","Active movement","Apodidae",0
"8","14","Active movement","Apodidae",0
"5","15","Active movement","Apodidae",0
"8","15","Active movement","Apodidae",0
"5","16","Active movement","Apodidae",0
"8","16","Active movement","Apodidae",0
"5","17","Active movement","Apodidae",0
"8","17","Active movement","Apodidae",0
"5","18","Active movement","Apodidae",0
"8","18","Active movement","Apodidae",0
"5","19","Active movement","Apodidae",0
"8","19","Active movement","Apodidae",0
"5","20","Active movement","Apodidae",0
"8","20","Active movement","Apodidae",0
"5","21","Active movement","Apodidae",0
"8","21","Active movement","Apodidae",0
"5","22","Active movement","Apodidae",0
"8","22","Active movement","Apodidae",0
"5","23","Active movement","Apodidae",0
"8","23","Active movement","Apodidae",0
"5","24","Active movement","Apodidae",0
"8","24","Active movement","Apodidae",0
"5","1","Cleaning","Apodidae",0
"8","1","Cleaning","Apodidae",0
"5","2","Cleaning","Apodidae",0
"8","2","Cleaning","Apodidae",0
"5","3","Cleaning","Apodidae",0
"8","3","Cleaning","Apodidae",0
"5","4","Cleaning","Apodidae",0
"8","4","Cleaning","Apodidae",0
"5","5","Cleaning","Apodidae",0
"8","5","Cleaning","Apodidae",0
"5","6","Cleaning","Apodidae",0
"8","6","Cleaning","Apodidae",0
"5","7","Cleaning","Apodidae",0
"8","7","Cleaning","Apodidae",0
"5","8","Cleaning","Apodidae",0
"8","8","Cleaning","Apodidae",0
"5","9","Cleaning","Apodidae",0
"8","9","Cleaning","Apodidae",0
"5","10","Cleaning","Apodidae",0
"8","10","Cleaning","Apodidae",0
"5","14","Cleaning","Apodidae",0
"8","14","Cleaning","Apodidae",0
"5","15","Cleaning","Apodidae",0
"8","15","Cleaning","Apodidae",0
"5","16","Cleaning","Apodidae",0
"8","16","Cleaning","Apodidae",0
"5","17","Cleaning","Apodidae",0
"8","17","Cleaning","Apodidae",0
"5","18","Cleaning","Apodidae",0
"8","18","Cleaning","Apodidae",0
"5","19","Cleaning","Apodidae",0
"8","19","Cleaning","Apodidae",0
"5","20","Cleaning","Apodidae",0
"8","20","Cleaning","Apodidae",0
"5","21","Cleaning","Apodidae",0
"8","21","Cleaning","Apodidae",0
"5","22","Cleaning","Apodidae",0
"8","22","Cleaning","Apodidae",0
"5","23","Cleaning","Apodidae",0
"8","23","Cleaning","Apodidae",0
"5","24","Cleaning","Apodidae",0
"8","24","Cleaning","Apodidae",0
"5","1","Feeding","Apodidae",0
"8","1","Feeding","Apodidae",0
"5","2","Feeding","Apodidae",0
"8","2","Feeding","Apodidae",0
"5","3","Feeding","Apodidae",0
"8","3","Feeding","Apodidae",0
"5","4","Feeding","Apodidae",0
"8","4","Feeding","Apodidae",0
"5","5","Feeding","Apodidae",0
"8","5","Feeding","Apodidae",0
"5","6","Feeding","Apodidae",0
"8","6","Feeding","Apodidae",0
"5","7","Feeding","Apodidae",0
"8","7","Feeding","Apodidae",0
"5","8","Feeding","Apodidae",0
"8","8","Feeding","Apodidae",0
"5","9","Feeding","Apodidae",0
"8","9","Feeding","Apodidae",0
"5","10","Feeding","Apodidae",0
"8","10","Feeding","Apodidae",0
"5","14","Feeding","Apodidae",0
"8","14","Feeding","Apodidae",0
"5","15","Feeding","Apodidae",0
"8","15","Feeding","Apodidae",0
"5","16","Feeding","Apodidae",0
"8","16","Feeding","Apodidae",0
"5","17","Feeding","Apodidae",0
"8","17","Feeding","Apodidae",0
"5","18","Feeding","Apodidae",0
"8","18","Feeding","Apodidae",0
"5","19","Feeding","Apodidae",0
"8","19","Feeding","Apodidae",0
"5","20","Feeding","Apodidae",0
"8","20","Feeding","Apodidae",0
"5","21","Feeding","Apodidae",0
"8","21","Feeding","Apodidae",0
"5","22","Feeding","Apodidae",0
"8","22","Feeding","Apodidae",0
"5","23","Feeding","Apodidae",0
"8","23","Feeding","Apodidae",0
"5","24","Feeding","Apodidae",0
"8","24","Feeding","Apodidae",0
"5","1","Inactivity","Apodidae",0
"8","1","Inactivity","Apodidae",0
"5","2","Inactivity","Apodidae",0
"8","2","Inactivity","Apodidae",0
"5","3","Inactivity","Apodidae",0
"8","3","Inactivity","Apodidae",0
"5","4","Inactivity","Apodidae",0
"8","4","Inactivity","Apodidae",0
"5","5","Inactivity","Apodidae",0
"8","5","Inactivity","Apodidae",0
