Column1,,,,
Contrasted Terms,Estimate,Standard Error,z.ratio,p.value
"Cactus,Spring - Open,Spring",0.0841,0.16,0.526,0.9951
"Cactus,Spring - Shrub,Spring",-0.2007,0.152,-1.317,0.7758
"Cactus,Spring - Cactus,Summer",-0.2772,0.196,-1.414,0.7185
"Cactus,Spring - Open,Summer",-0.5108,0.217,-2.349,0.1745
"Cactus,Spring - Shrub,Summer",-0.1054,0.189,-0.556,0.9937
"Open,Spring - Shrub,Spring",-0.2847,0.124,-2.297,0.1951
"Open,Spring - Cactus,Summer",-0.3613,0.175,-2.066,0.3052
"Open,Spring - Open,Summer",-0.5949,0.199,-2.996,0.0327
"Open,Spring - Shrub,Summer",-0.1894,0.167,-1.131,0.8686
"Shrub,Spring - Cactus,Summer",-0.0765,0.168,-0.455,0.9976
"Shrub,Spring - Open,Summer",-0.3102,0.193,-1.61,0.592
"Shrub,Spring - Shrub,Summer",0.0953,0.16,0.594,0.9915
"Cactus,Summer - Open,Summer",-0.2336,0.229,-1.021,0.911
"Cactus,Summer - Shrub,Summer",0.1719,0.202,0.849,0.9581
"Open,Summer - Shrub,Summer",0.4055,0.223,1.817,0.4547
